TaxId	NCBIGroups
935705	viral
1064551	viral
1114949	viral
1192834	viral
1235460	viral
1299274	viral
1081093	viral
1192829	viral
1225522	viral
1331043	viral
1029979	viral
1079470	viral
1079471	viral
1079472	viral
1243589	viral
1298917	viral
1299269	viral
607	viral
610	viral
454164	viral
454169	viral
925125	viral
947304	viral
1029996	viral
1029997	viral
1029998	viral
1029999	viral
1030000	viral
1030001	viral
1030002	viral
1030003	viral
1030004	viral
1030005	viral
1030006	viral
1030007	viral
1037256	viral
1037257	viral
1037258	viral
1037259	viral
1037261	viral
1054948	viral
1054949	viral
1054950	viral
1054951	viral
1054952	viral
1054953	viral
1054954	viral
1054955	viral
1054956	viral
1054957	viral
1054958	viral
1054959	viral
1054960	viral
1054961	viral
1054962	viral
1054963	viral
1054964	viral
1054965	viral
1054966	viral
1124934	viral
1124935	viral
1124936	viral
1124937	viral
1124938	viral
1124939	viral
1124940	viral
1124941	viral
1124942	viral
1124943	viral
1124944	viral
1124945	viral
1124946	viral
1124947	viral
1124948	viral
1124949	viral
1128955	viral
1128956	viral
1128957	viral
1128958	viral
1128959	viral
1128960	viral
1128961	viral
1128962	viral
1128963	viral
1128964	viral
1128965	viral
1128966	viral
1128967	viral
1128968	viral
1128969	viral
1137739	viral
1160717	viral
1173832	viral
1173833	viral
1173834	viral
1173835	viral
1173836	viral
1173837	viral
1173838	viral
1173839	viral
1173840	viral
1173841	viral
1173842	viral
1173843	viral
1173844	viral
1173845	viral
1173846	viral
1173847	viral
1173848	viral
1173849	viral
1176687	viral
1182164	viral
1182165	viral
1182166	viral
1182167	viral
1182168	viral
1182169	viral
1182170	viral
1192660	viral
1192661	viral
1192662	viral
1192663	viral
1192664	viral
1192665	viral
1192666	viral
1192667	viral
1192668	viral
1192669	viral
1192670	viral
1192671	viral
1192672	viral
1192673	viral
1192674	viral
1192675	viral
1192676	viral
1192677	viral
1192678	viral
1192679	viral
1192680	viral
1192681	viral
1192682	viral
1192683	viral
1192684	viral
1192830	viral
1271864	viral
1299014	viral
1299015	viral
1299016	viral
1299017	viral
1299018	viral
1299019	viral
1299020	viral
1299021	viral
1299022	viral
1299023	viral
1299024	viral
1299025	viral
1299026	viral
1299027	viral
1299028	viral
1299029	viral
1299030	viral
1299031	viral
1299032	viral
1299033	viral
1299034	viral
1299035	viral
1299036	viral
1299037	viral
1299038	viral
1299039	viral
1299040	viral
1299041	viral
1299042	viral
1299043	viral
1299044	viral
1299045	viral
1299046	viral
1299047	viral
1299048	viral
1299049	viral
1299050	viral
1299051	viral
1299052	viral
1299053	viral
1299056	viral
1299057	viral
1331010	viral
1331011	viral
1331012	viral
1331013	viral
1344967	viral
1344968	viral
1344969	viral
1344970	viral
1344971	viral
1344972	viral
1344973	viral
1344974	viral
1344975	viral
1344976	viral
1344977	viral
1344978	viral
1344979	viral
1344980	viral
1344981	viral
1344982	viral
1344983	viral
1344984	viral
1344985	viral
1344986	viral
1345693	viral
1383894	viral
1383895	viral
1383896	viral
1383897	viral
1383898	viral
1383899	viral
1383900	viral
1383901	viral
1383902	viral
1383903	viral
1383904	viral
1383905	viral
1383906	viral
1383907	viral
1383908	viral
1383909	viral
1383910	viral
1383911	viral
1383912	viral
1383913	viral
1383914	viral
1383915	viral
1383916	viral
1383917	viral
1383918	viral
1383919	viral
1383920	viral
1383921	viral
1383922	viral
612	viral
1124926	viral
1192557	viral
1242696	viral
28143	viral
1124929	viral
1173808	viral
1192715	viral
1192716	viral
1197886	viral
1299222	viral
1299223	viral
1299224	viral
1401650	viral
1243579	viral
1243580	viral
997333	viral
997334	viral
1124960	viral
1192574	viral
1323580	viral
28149	viral
749960	viral
749961	viral
749962	viral
749963	viral
749964	viral
749965	viral
913082	viral
930772	viral
930773	viral
1090938	viral
1124965	viral
1124966	viral
1147753	viral
1192581	viral
1192771	viral
1299253	viral
1299254	viral
1299255	viral
1299256	viral
1397961	viral
1397962	viral
1397963	viral
1397964	viral
1397965	viral
1397966	viral
1397967	viral
1397968	viral
1397969	viral
1397970	viral
1397971	viral
1397972	viral
1397973	viral
1397974	viral
1397975	viral
